Original MSA,Matched MSA,CBSA Code,Confidence,Check
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Chesapeake-Norfolk, VA-NC",47260,73.63636364,Y
"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren, OH",49660,80.52631579,Y
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA",12060,85.5,Y
"Austin-Round Rock-Georgetown, TX","Austin-Round Rock-San Marcos, TX",12420,85.5,Y
"Bakersfield, CA","Bakersfield-Delano, CA",12540,85.5,Y
"Birmingham-Hoover, AL","Birmingham, AL",13820,85.5,Y
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Danbury, CT",14860,85.5,Y
"Brunswick, GA","Brunswick-St. Simons, GA",15260,85.5,Y
"Carbondale-Marion, IL","Carbondale, IL",16060,85.5,Y
"Cleveland-Elyria, OH","Cleveland, OH",17410,85.5,Y
"Dayton-Kettering, OH","Dayton-Kettering-Beavercreek, OH",19430,85.5,Y
"Denver-Aurora-Lakewood, CO","Denver-Aurora-Centennial, CO",19740,85.5,Y
"Elizabethtown-Fort Knox, KY","Elizabethtown, KY",21060,85.5,Y
"Fort Collins, CO","Fort Collins-Loveland, CO",22660,85.5,Y
"Hartford-East Hartford-Middletown, CT","Hartford-West Hartford-East Hartford, CT",25540,85.5,Y
"Hilton Head Island-Bluffton, SC","Hilton Head Island-Bluffton-Port Royal, SC",25940,85.5,Y
"Houma-Thibodaux, LA","Houma-Bayou Cane-Thibodaux, LA",26380,85.5,Y
"Houston-The Woodlands-Sugar Land, TX","Houston-Pasadena-The Woodlands, TX",26420,85.5,Y
"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Greenwood, IN",26900,85.5,Y
"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-North Las Vegas, NV",29820,85.5,Y
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",33100,85.5,Y
"New Haven-Milford, CT","New Haven, CT",35300,85.5,Y
"North Port-Sarasota-Bradenton, FL","North Port-Bradenton-Sarasota, FL",35840,85.5,Y
"Norwich-New London, CT","Norwich-New London-Willimantic, CT",35980,85.5,Y
"Panama City, FL","Panama City-Panama City Beach, FL",37460,85.5,Y
